,A팀_득점,A팀_범실,A팀_공격종합성공률,A팀_오픈_성공률,A팀_속공_성공률,A팀_퀵오픈_성공률,A팀_서브_성공률,A팀_블로킹_성공률,A팀_디그_성공률,A팀_디그_점유율,A팀_리시브_성공률,A팀_리시브_점유율,A팀MVP,target,B팀_득점,B팀_범실,B팀_공격종합성공률,B팀_오픈_성공률,B팀_속공_성공률,B팀_퀵오픈_성공률,B팀_서브_성공률,B팀_블로킹_성공률,B팀_디그_성공률,B팀_디그_점유율,B팀_리시브_성공률,B팀_리시브_점유율,B팀MVP
0,69.0,25.0,17.985,9.4375,2.08375,26.93125,0.175,11.702127659574469,85.71428571428571,12.498750000000001,40.4040404040404,12.498750000000001,0,1.0,82.0,27.0,12.32,6.8981818181818175,5.627272727272727,15.15090909090909,0.12727272727272726,20.0,86.11111111111111,9.02909090909091,50.58823529411765,9.090909090909092,1
1,78.0,13.0,32.86888888888889,35.22666666666667,2.2222222222222223,12.036666666666667,0.12222222222222223,9.090909090909092,81.25,10.957777777777778,47.57281553398058,11.11111111111111,0,1.0,102.0,29.0,20.77,14.957777777777778,13.226666666666667,13.457777777777778,0.1111111111111111,19.047619047619047,88.63636363636364,11.112222222222222,45.19230769230769,11.11111111111111,1
2,88.0,25.0,27.58727272727273,22.803636363636365,15.426363636363636,10.505454545454546,0.16363636363636364,9.722222222222223,83.92857142857143,9.01,44.329896907216494,9.09,0,0.0,82.0,22.0,25.871,22.884999999999998,14.047,9.684000000000001,0.13999999999999999,11.842105263157894,80.35714285714286,10.001,38.775510204081634,9.998,0
3,80.0,19.0,32.48222222222223,32.128888888888895,22.22222222222222,16.16888888888889,0.15555555555555556,10.44776119402985,84.12698412698413,10.852222222222222,54.25531914893617,10.88,0,1.0,86.0,21.0,29.013333333333335,18.535555555555554,16.032222222222224,11.11111111111111,0.06666666666666668,14.14141414141414,87.27272727272727,11.11111111111111,43.01075268817204,11.112222222222222,1
4,68.0,21.0,23.44125,19.43875,12.5,19.63375,0.07500000000000001,11.363636363636363,88.11881188118812,12.3775,40.86021505376344,12.3675,1,1.0,86.0,25.0,22.622999999999998,14.401,5.0,8.718,0.173,17.741935483870968,88.07339449541286,9.642999999999999,40.0,9.238,0
5,80.0,15.0,23.279999999999998,19.832222222222224,4.444444444444445,18.836666666666666,0.19999999999999998,11.235955056179774,83.0,11.11111111111111,56.25,11.11111111111111,0,0.0,80.0,23.0,18.844,17.044,8.75,7.083,0.18,20.3125,84.46601941747572,9.999,53.333333333333336,9.376000000000001,0
6,83.0,25.0,22.742,18.962,8.333,17.157999999999998,0.258,8.47457627118644,78.94736842105263,10.0,42.10526315789473,9.693999999999999,0,1.0,78.0,20.0,28.622500000000002,18.317500000000003,10.59,12.29125,0.0625,18.91891891891892,81.52173913043478,12.23375,42.857142857142854,12.10125,1
7,61.0,13.0,32.61625,12.690000000000001,18.75,26.25,0.29125,20.754716981132077,87.5,12.5,38.775510204081634,12.501249999999999,1,0.0,31.0,12.0,34.413333333333334,32.53666666666667,2.3816666666666664,25.0,0.055,11.111111111111109,86.79245283018868,14.245,45.45454545454546,13.479999999999999,0
8,39.0,21.0,33.67714285714286,24.042857142857144,12.142857142857142,8.842857142857143,0.09428571428571429,18.181818181818183,81.13207547169812,12.017142857142858,66.66666666666666,7.96,0,1.0,50.0,12.0,35.09125,20.69375,15.17875,17.916249999999998,0.20875000000000002,16.363636363636363,87.03703703703704,12.498750000000001,50.0,12.5,1
9,83.0,18.0,22.625,25.633,6.606999999999999,11.25,0.10500000000000001,18.88888888888889,83.33333333333334,10.0,42.22222222222222,9.998999999999999,1,0.0,83.0,29.0,19.557,16.218,6.25,22.122,0.08,15.789473684210526,87.61061946902655,9.998999999999999,45.714285714285715,9.999,0
10,47.0,16.0,34.62285714285714,27.45,5.714285714285714,22.419999999999998,0.18857142857142858,5.88235294117647,88.13559322033898,13.592857142857143,38.983050847457626,12.58,1,1.0,55.0,11.0,32.830000000000005,23.635555555555555,16.666666666666668,19.444444444444443,0.07333333333333333,14.583333333333334,89.1891891891892,10.677777777777777,28.30188679245283,11.11111111111111,0
11,54.0,7.0,29.062857142857144,27.037142857142857,12.381428571428572,19.205714285714286,0.2385714285714286,18.518518518518515,93.33333333333333,14.097142857142858,52.94117647058824,14.285714285714286,0,0.0,40.0,20.0,16.408571428571427,16.728571428571428,1.7857142857142858,3.5714285714285716,0.09428571428571429,13.333333333333334,86.07594936708861,12.825714285714286,47.61904761904761,12.857142857142858,0
