,팀명,경기날짜,결과,이름,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,범실_범실,포지션,득점점유율,스타팅멤버
0,IBK기업은행,2017-10-14,0,메디,29.85,26.83,100.0,0.0,8.33,0.0,45.45,0.2,7,L,0.34782608695652173,1
1,IBK기업은행,2017-10-14,0,고예림,30.0,12.0,0.0,0.0,0.0,0.0,60.0,0.6,6,L,0.21739130434782608,1
2,IBK기업은행,2017-10-14,0,김희진,27.78,20.0,44.44,0.0,0.0,0.0,50.0,0.2,6,R,0.21739130434782608,1
3,IBK기업은행,2017-10-14,0,김미연,31.25,16.67,0.0,33.33,0.0,0.0,60.0,0.0,1,L,0.10144927536231885,1
4,IBK기업은행,2017-10-14,0,김수지,25.0,0.0,50.0,25.0,0.0,16.67,0.0,0.2,3,C,0.08695652173913043,1
5,IBK기업은행,2017-10-14,0,이고은,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2,S,0.014492753623188406,0
6,IBK기업은행,2017-10-14,0,염혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.014492753623188406,1
7,IBK기업은행,2017-10-14,0,김혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,흥국생명,2017-10-14,1,심슨,41.9,34.0,83.33,0.0,46.51,0.0,33.33,0.0,13,L,0.5853658536585366,1
1,흥국생명,2017-10-14,1,이재영,24.39,21.88,33.33,0.0,20.0,0.0,100.0,0.2,3,L,0.15853658536585366,1
2,흥국생명,2017-10-14,1,정시영,30.0,0.0,0.0,40.0,0.0,33.33,0.0,0.2,3,R,0.0975609756097561,1
3,흥국생명,2017-10-14,1,이한비,21.05,20.0,0.0,0.0,0.0,0.0,33.33,0.0,4,L,0.04878048780487805,0
4,흥국생명,2017-10-14,1,김나희,18.18,0.0,0.0,0.0,0.0,28.57,0.0,0.0,1,C,0.036585365853658534,1
5,흥국생명,2017-10-14,1,조송화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,S,0.036585365853658534,1
6,흥국생명,2017-10-14,1,공윤희,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,R,0.036585365853658534,0
8,흥국생명,2017-10-14,1,신연경,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,1
9,흥국생명,2017-10-14,1,김해란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
10,흥국생명,2017-10-14,1,남지연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
11,흥국생명,2017-10-14,1,한지현,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,KGC인삼공사,2017-10-15,0,알레나,38.89,37.7,0.0,0.0,40.0,0.0,50.0,0.0,5,R,0.5641025641025641,1
1,KGC인삼공사,2017-10-15,0,한송이,32.35,31.25,33.33,0.0,0.0,0.0,33.33,0.0,1,L,0.16666666666666666,1
2,KGC인삼공사,2017-10-15,0,유희옥,28.57,50.0,0.0,0.0,0.0,20.0,0.0,0.2,1,C,0.0641025641025641,1
3,KGC인삼공사,2017-10-15,0,최수빈,13.79,9.52,0.0,0.0,0.0,0.0,25.0,0.0,3,L,0.05128205128205128,1
4,KGC인삼공사,2017-10-15,0,이재은,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.4,2,S,0.05128205128205128,1
5,KGC인삼공사,2017-10-15,0,이선정,20.0,20.0,0.0,25.0,0.0,0.0,0.0,0.0,1,C,0.038461538461538464,1
6,KGC인삼공사,2017-10-15,0,박상미,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0,L,0.038461538461538464,0
7,KGC인삼공사,2017-10-15,0,지민경,22.22,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.02564102564102564,0
10,KGC인삼공사,2017-10-15,0,오지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,현대건설,2017-10-15,1,엘리자베스,41.46,36.0,60.0,0.0,50.0,0.0,40.0,0.2,8,L,0.37254901960784315,1
1,현대건설,2017-10-15,1,황연주,44.19,35.29,33.33,0.0,50.0,0.0,53.85,0.2,5,R,0.20588235294117646,1
2,현대건설,2017-10-15,1,양효진,43.48,33.33,23.08,0.0,0.0,85.71,0.0,0.4,5,C,0.1568627450980392,1
3,현대건설,2017-10-15,1,김세영,30.77,0.0,50.0,0.0,0.0,33.33,0.0,0.0,1,C,0.11764705882352941,1
4,현대건설,2017-10-15,1,황민경,27.03,30.0,20.0,0.0,0.0,0.0,27.27,0.0,6,L,0.10784313725490197,1
5,현대건설,2017-10-15,1,이다영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,S,0.029411764705882353,1
6,현대건설,2017-10-15,1,고유민,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,L,0.00980392156862745,0
7,현대건설,2017-10-15,1,김연견,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
8,현대건설,2017-10-15,1,박혜미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,한국도로공사,2017-10-17,0,이바나,50.0,53.85,0.0,0.0,0.0,0.0,40.0,0.6,9,R,0.34146341463414637,1
1,한국도로공사,2017-10-17,0,박정아,34.69,33.33,0.0,0.0,33.33,0.0,36.84,0.0,1,L,0.2073170731707317,1
2,한국도로공사,2017-10-17,0,정대영,45.45,16.67,42.86,50.0,0.0,83.33,0.0,0.2,3,C,0.17073170731707318,1
3,한국도로공사,2017-10-17,0,배유나,42.86,25.0,50.0,50.0,0.0,57.14,0.0,0.0,3,C,0.14634146341463414,1
4,한국도로공사,2017-10-17,0,최은지,35.71,50.0,0.0,0.0,0.0,0.0,20.0,0.4,2,L,0.0975609756097561,1
5,한국도로공사,2017-10-17,0,이효희,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.2,1,S,0.036585365853658534,1
6,한국도로공사,2017-10-17,0,문정원,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,R,0.0,0
7,한국도로공사,2017-10-17,0,유서연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,L,0.0,0
8,한국도로공사,2017-10-17,0,임명옥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
9,한국도로공사,2017-10-17,0,정선아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C,0.0,0
0,GS칼텍스,2017-10-17,1,강소휘,44.68,29.41,100.0,0.0,50.0,0.0,52.38,0.6,7,L,0.2727272727272727,1
1,GS칼텍스,2017-10-17,1,듀크,35.29,42.86,25.0,0.0,37.5,0.0,18.18,0.0,6,R,0.22727272727272727,1
2,GS칼텍스,2017-10-17,1,표승주,37.78,28.57,50.0,0.0,50.0,0.0,45.0,0.4,2,R,0.2159090909090909,1
3,GS칼텍스,2017-10-17,1,문명화,50.0,100.0,0.0,0.0,0.0,33.33,0.0,0.4,1,C,0.125,1
4,GS칼텍스,2017-10-17,1,김유리,35.71,50.0,0.0,0.0,0.0,36.36,0.0,0.2,2,C,0.06818181818181818,1
5,GS칼텍스,2017-10-17,1,이영,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,C,0.056818181818181816,0
6,GS칼텍스,2017-10-17,1,이나연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5,S,0.022727272727272728,1
7,GS칼텍스,2017-10-17,1,안혜진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.011363636363636364,0
9,GS칼텍스,2017-10-17,1,김채원,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
10,GS칼텍스,2017-10-17,1,나현정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Li,0.0,0
11,GS칼텍스,2017-10-17,1,한다혜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,IBK기업은행,2017-10-18,0,메디,43.66,34.21,33.33,0.0,58.82,0.0,53.85,0.0,3,L,0.3875,1
1,IBK기업은행,2017-10-18,0,김희진,33.33,30.0,16.67,0.0,33.33,100.0,50.0,0.4,4,R,0.25,1
2,IBK기업은행,2017-10-18,0,고예림,23.68,13.04,50.0,0.0,0.0,0.0,41.67,0.6,2,L,0.15,1
3,IBK기업은행,2017-10-18,0,김수지,50.0,66.67,0.0,57.14,0.0,50.0,0.0,0.0,4,C,0.1125,1
4,IBK기업은행,2017-10-18,0,이고은,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.4,3,S,0.05,1
5,IBK기업은행,2017-10-18,0,김미연,25.0,28.57,0.0,0.0,0.0,50.0,0.0,0.0,2,L,0.0375,1
6,IBK기업은행,2017-10-18,0,염혜선,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.0125,0
8,IBK기업은행,2017-10-18,0,김혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
9,IBK기업은행,2017-10-18,0,채선아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,현대건설,2017-10-18,1,엘리자베스,40.48,34.88,0.0,0.0,43.48,0.0,50.0,0.0,5,L,0.4069767441860465,1
1,현대건설,2017-10-18,1,양효진,46.43,33.33,27.27,0.0,0.0,64.29,0.0,0.0,3,C,0.18604651162790697,1
2,현대건설,2017-10-18,1,황연주,39.29,37.5,0.0,0.0,57.14,0.0,33.33,0.2,5,R,0.1511627906976744,1
3,현대건설,2017-10-18,1,김세영,57.14,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0,C,0.11627906976744186,1
4,현대건설,2017-10-18,1,황민경,27.78,11.11,100.0,0.0,0.0,0.0,16.67,0.4,7,L,0.08139534883720931,1
5,현대건설,2017-10-18,1,이다영,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.05813953488372093,1
6,현대건설,2017-10-18,1,고유민,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
7,현대건설,2017-10-18,1,김연견,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
8,현대건설,2017-10-18,1,박혜미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,흥국생명,2017-10-21,1,심슨,46.15,44.68,100.0,0.0,50.0,0.0,33.33,0.0,7,L,0.5,1
1,흥국생명,2017-10-21,1,이재영,31.82,16.0,0.0,0.0,75.0,0.0,53.85,0.4,9,L,0.19767441860465115,1
2,흥국생명,2017-10-21,1,정시영,36.36,0.0,0.0,60.0,0.0,25.0,0.0,0.2,2,R,0.11627906976744186,1
3,흥국생명,2017-10-21,1,김나희,28.57,0.0,0.0,40.0,0.0,25.0,0.0,0.33,0,C,0.06976744186046512,1
4,흥국생명,2017-10-21,1,임해정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,C,0.05813953488372093,0
5,흥국생명,2017-10-21,1,조송화,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.4,2,S,0.03488372093023256,1
6,흥국생명,2017-10-21,1,신연경,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4,L,0.023255813953488372,1
8,흥국생명,2017-10-21,1,공윤희,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,R,0.0,0
10,흥국생명,2017-10-21,1,김해란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
11,흥국생명,2017-10-21,1,남지연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,KGC인삼공사,2017-10-21,0,알레나,37.5,24.24,50.0,0.0,38.71,0.0,100.0,0.4,6,R,0.47058823529411764,1
1,KGC인삼공사,2017-10-21,0,한송이,30.56,21.43,33.33,0.0,0.0,0.0,38.89,0.2,5,L,0.19117647058823528,1
2,KGC인삼공사,2017-10-21,0,유희옥,43.75,33.33,0.0,0.0,0.0,50.0,0.0,0.0,5,C,0.11764705882352941,1
3,KGC인삼공사,2017-10-21,0,한수지,33.33,25.0,0.0,0.0,0.0,50.0,0.0,0.0,2,C,0.11764705882352941,1
4,KGC인삼공사,2017-10-21,0,최수빈,17.39,18.18,0.0,0.0,0.0,0.0,18.18,0.0,2,L,0.08823529411764706,1
5,KGC인삼공사,2017-10-21,0,이재은,25.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.014705882352941176,1
6,KGC인삼공사,2017-10-21,0,박상미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
8,KGC인삼공사,2017-10-21,0,오지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Li,0.0,0
0,한국도로공사,2017-10-22,0,이바나,42.86,50.0,0.0,0.0,33.33,0.0,33.33,0.6,7,R,0.45,1
1,한국도로공사,2017-10-22,0,박정아,37.84,42.11,0.0,0.0,0.0,0.0,37.5,0.4,3,L,0.25,1
2,한국도로공사,2017-10-22,0,배유나,35.0,0.0,50.0,33.33,0.0,37.5,0.0,0.0,3,C,0.1375,1
3,한국도로공사,2017-10-22,0,정대영,29.41,25.0,0.0,0.0,0.0,50.0,0.0,0.0,1,C,0.075,1
4,한국도로공사,2017-10-22,0,이효희,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.6,2,S,0.05,1
5,한국도로공사,2017-10-22,0,문정원,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2,7,R,0.0375,1
7,한국도로공사,2017-10-22,0,유서연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
8,한국도로공사,2017-10-22,0,임명옥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
9,한국도로공사,2017-10-22,0,정선아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C,0.0,0
10,한국도로공사,2017-10-22,0,최은지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,IBK기업은행,2017-10-22,1,메디,50.0,50.0,0.0,0.0,46.15,0.0,60.0,0.2,5,L,0.3375,1
1,IBK기업은행,2017-10-22,1,김희진,41.18,30.0,58.82,0.0,25.0,0.0,0.0,0.6,3,R,0.2375,1
2,IBK기업은행,2017-10-22,1,고예림,35.48,31.82,100.0,0.0,0.0,0.0,42.86,0.2,2,L,0.1625,1
3,IBK기업은행,2017-10-22,1,김미연,40.0,16.67,0.0,100.0,0.0,0.0,66.67,0.6,4,L,0.1375,1
4,IBK기업은행,2017-10-22,1,김수지,42.86,50.0,0.0,100.0,0.0,40.0,0.0,0.2,0,C,0.125,1
5,IBK기업은행,2017-10-22,1,이고은,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.0,1
7,IBK기업은행,2017-10-22,1,김혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
8,IBK기업은행,2017-10-22,1,노란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
10,IBK기업은행,2017-10-22,1,염혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.0,0
0,KGC인삼공사,2017-10-24,1,알레나,54.93,43.24,0.0,0.0,77.78,0.0,40.0,0.0,8,R,0.5897435897435898,1
1,KGC인삼공사,2017-10-24,1,한송이,28.0,31.25,0.0,0.0,0.0,0.0,25.0,0.25,5,L,0.11538461538461539,1
2,KGC인삼공사,2017-10-24,1,한수지,25.0,16.67,100.0,0.0,0.0,22.22,0.0,0.0,3,C,0.10256410256410256,1
3,KGC인삼공사,2017-10-24,1,유희옥,60.0,0.0,100.0,0.0,0.0,62.5,0.0,0.0,2,C,0.08974358974358974,1
4,KGC인삼공사,2017-10-24,1,최수빈,21.05,15.38,0.0,0.0,0.0,0.0,33.33,0.25,1,L,0.0641025641025641,1
5,KGC인삼공사,2017-10-24,1,이재은,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.038461538461538464,1
8,KGC인삼공사,2017-10-24,1,박상미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
10,KGC인삼공사,2017-10-24,1,오지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,GS칼텍스,2017-10-24,0,듀크,53.85,45.45,0.0,0.0,72.22,0.0,57.14,0.25,9,R,0.43373493975903615,1
1,GS칼텍스,2017-10-24,0,강소휘,40.0,29.17,0.0,0.0,33.33,0.0,70.0,1.25,6,L,0.27710843373493976,1
2,GS칼텍스,2017-10-24,0,표승주,28.57,15.0,0.0,0.0,33.33,0.0,44.44,0.5,5,R,0.1686746987951807,1
3,GS칼텍스,2017-10-24,0,문명화,60.0,100.0,0.0,0.0,0.0,50.0,0.0,0.25,0,C,0.060240963855421686,1
4,GS칼텍스,2017-10-24,0,김유리,20.0,0.0,0.0,100.0,0.0,0.0,0.0,0.33,2,C,0.04819277108433735,0
5,GS칼텍스,2017-10-24,0,이영,25.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,2,C,0.012048192771084338,1
7,GS칼텍스,2017-10-24,0,나현정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
8,GS칼텍스,2017-10-24,0,안혜진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.0,0
9,GS칼텍스,2017-10-24,0,이나연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.0,1
10,GS칼텍스,2017-10-24,0,한다혜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,현대건설,2017-10-25,1,엘리자베스,56.76,56.52,0.0,0.0,50.0,0.0,100.0,1.0,5,L,0.4098360655737705,1
1,현대건설,2017-10-25,1,양효진,38.46,0.0,28.57,0.0,0.0,50.0,0.0,0.0,2,C,0.14754098360655737,1
2,현대건설,2017-10-25,1,황연주,46.67,20.0,100.0,0.0,50.0,0.0,60.0,0.0,2,R,0.11475409836065574,1
3,현대건설,2017-10-25,1,황민경,35.71,25.0,50.0,0.0,0.0,0.0,50.0,0.33,2,L,0.11475409836065574,1
4,현대건설,2017-10-25,1,김세영,83.33,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0,C,0.11475409836065574,1
5,현대건설,2017-10-25,1,이다영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,S,0.09836065573770492,1
6,현대건설,2017-10-25,1,고유민,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
7,현대건설,2017-10-25,1,김연견,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,흥국생명,2017-10-25,0,심슨,36.36,36.36,0.0,0.0,33.33,0.0,50.0,0.33,7,L,0.6129032258064516,1
1,흥국생명,2017-10-25,0,이재영,17.24,16.0,0.0,0.0,0.0,0.0,100.0,0.0,5,L,0.16129032258064516,1
3,흥국생명,2017-10-25,0,공윤희,37.5,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0,R,0.0967741935483871,0
4,흥국생명,2017-10-25,0,정시영,15.38,0.0,0.0,33.33,0.0,14.29,0.0,0.0,0,R,0.06451612903225806,1
5,흥국생명,2017-10-25,0,조송화,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.06451612903225806,1
10,흥국생명,2017-10-25,0,김해란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,현대건설,2017-10-28,1,엘리자베스,46.67,44.44,0.0,0.0,62.5,0.0,33.33,0.0,5,L,0.28,1
1,현대건설,2017-10-28,1,양효진,63.64,0.0,66.67,0.0,0.0,71.43,0.0,0.67,2,C,0.26,1
2,현대건설,2017-10-28,1,황연주,43.75,60.0,50.0,0.0,0.0,0.0,60.0,0.33,2,R,0.16,1
3,현대건설,2017-10-28,1,황민경,26.67,11.11,66.67,0.0,0.0,0.0,50.0,0.67,0,L,0.12,1
4,현대건설,2017-10-28,1,김세영,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0,C,0.12,1
5,현대건설,2017-10-28,1,이다영,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3,S,0.06,1
7,현대건설,2017-10-28,1,김연견,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
8,현대건설,2017-10-28,1,박혜미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
0,GS칼텍스,2017-10-28,0,듀크,39.02,29.41,0.0,0.0,56.25,0.0,33.33,0.33,5,R,0.48717948717948717,1
1,GS칼텍스,2017-10-28,0,강소휘,32.43,38.89,100.0,0.0,0.0,0.0,28.57,0.0,9,L,0.3076923076923077,1
2,GS칼텍스,2017-10-28,0,이영,50.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,3,C,0.10256410256410256,0
6,GS칼텍스,2017-10-28,0,안혜진,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.05128205128205128,0
7,GS칼텍스,2017-10-28,0,김유리,14.29,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3,C,0.02564102564102564,1
8,GS칼텍스,2017-10-28,0,이나연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0,S,0.02564102564102564,1
9,GS칼텍스,2017-10-28,0,나현정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,KGC인삼공사,2017-10-29,1,알레나,44.58,42.55,0.0,0.0,47.06,0.0,50.0,0.2,3,R,0.5421686746987951,1
1,KGC인삼공사,2017-10-29,1,한송이,36.67,27.27,0.0,0.0,0.0,0.0,62.5,0.2,5,L,0.1927710843373494,1
2,KGC인삼공사,2017-10-29,1,한수지,40.0,100.0,0.0,33.33,0.0,37.5,0.0,0.0,2,C,0.0963855421686747,1
3,KGC인삼공사,2017-10-29,1,이재은,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.4,4,S,0.060240963855421686,1
4,KGC인삼공사,2017-10-29,1,유희옥,25.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,1,C,0.04819277108433735,1
5,KGC인삼공사,2017-10-29,1,지민경,10.0,14.29,0.0,0.0,0.0,0.0,0.0,0.25,2,L,0.03614457831325301,1
6,KGC인삼공사,2017-10-29,1,최수빈,20.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,1,L,0.024096385542168676,0
7,KGC인삼공사,2017-10-29,1,박상미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
8,KGC인삼공사,2017-10-29,1,시은미,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.0,0
9,KGC인삼공사,2017-10-29,1,오지영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,한국도로공사,2017-10-29,0,이바나,37.18,44.0,50.0,0.0,17.39,0.0,100.0,0.2,13,R,0.3855421686746988,1
1,한국도로공사,2017-10-29,0,박정아,50.0,46.15,50.0,0.0,100.0,0.0,54.55,0.0,1,L,0.25301204819277107,1
2,한국도로공사,2017-10-29,0,배유나,42.86,28.57,100.0,60.0,0.0,37.5,0.0,0.0,2,C,0.14457831325301204,1
3,한국도로공사,2017-10-29,0,정대영,16.67,14.29,25.0,0.0,0.0,25.0,0.0,0.2,4,C,0.08433734939759036,1
4,한국도로공사,2017-10-29,0,문정원,36.36,16.67,50.0,0.0,0.0,0.0,66.67,0.2,3,R,0.060240963855421686,1
5,한국도로공사,2017-10-29,0,이원정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3,S,0.03614457831325301,1
6,한국도로공사,2017-10-29,0,최은지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,L,0.024096385542168676,0
7,한국도로공사,2017-10-29,0,유서연,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2,L,0.012048192771084338,0
8,한국도로공사,2017-10-29,0,이효희,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.0,0
9,한국도로공사,2017-10-29,0,임명옥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,GS칼텍스,2017-10-31,0,듀크,51.11,47.06,50.0,0.0,57.14,0.0,50.0,0.0,6,R,0.5106382978723404,1
1,GS칼텍스,2017-10-31,0,강소휘,26.92,11.76,0.0,0.0,0.0,0.0,62.5,0.33,5,L,0.19148936170212766,1
2,GS칼텍스,2017-10-31,0,표승주,42.11,33.33,50.0,0.0,0.0,0.0,44.44,0.33,1,R,0.19148936170212766,1
3,GS칼텍스,2017-10-31,0,문명화,22.22,0.0,0.0,0.0,0.0,40.0,0.0,0.33,0,C,0.06382978723404255,1
5,GS칼텍스,2017-10-31,0,한수진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3,L,0.02127659574468085,0
6,GS칼텍스,2017-10-31,0,이나연,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.02127659574468085,1
11,GS칼텍스,2017-10-31,0,나현정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,IBK기업은행,2017-10-31,1,메디,48.72,56.52,0.0,0.0,25.0,0.0,75.0,0.33,4,L,0.38181818181818183,1
1,IBK기업은행,2017-10-31,1,고예림,50.0,52.63,100.0,0.0,0.0,0.0,0.0,0.0,1,L,0.23636363636363636,1
2,IBK기업은행,2017-10-31,1,김희진,50.0,28.57,57.14,0.0,100.0,0.0,100.0,0.0,2,R,0.2,1
3,IBK기업은행,2017-10-31,1,김수지,18.18,0.0,33.33,0.0,0.0,50.0,0.0,0.0,2,C,0.07272727272727272,1
4,IBK기업은행,2017-10-31,1,김미연,28.57,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0,L,0.03636363636363636,0
5,IBK기업은행,2017-10-31,1,김현지,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,C,0.03636363636363636,0
6,IBK기업은행,2017-10-31,1,염혜선,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.01818181818181818,1
7,IBK기업은행,2017-10-31,1,노란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1,L,0.01818181818181818,0
8,IBK기업은행,2017-10-31,1,김혜선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
0,흥국생명,2017-11-01,0,심슨,43.75,36.67,100.0,0.0,46.67,0.0,0.0,0.0,6,L,0.525,1
1,흥국생명,2017-11-01,0,이재영,20.0,30.43,0.0,0.0,0.0,0.0,0.0,0.0,5,L,0.2,1
2,흥국생명,2017-11-01,0,정시영,20.0,0.0,0.0,50.0,0.0,12.5,0.0,0.33,2,R,0.1,1
3,흥국생명,2017-11-01,0,김채연,11.11,25.0,0.0,0.0,0.0,0.0,0.0,0.33,3,C,0.1,1
4,흥국생명,2017-11-01,0,공윤희,20.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,4,R,0.075,0
7,흥국생명,2017-11-01,0,김해란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
9,흥국생명,2017-11-01,0,조송화,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.0,1
0,한국도로공사,2017-11-01,1,이바나,28.57,20.69,0.0,0.0,40.0,0.0,44.44,0.67,4,R,0.35185185185185186,1
1,한국도로공사,2017-11-01,1,박정아,47.37,28.57,40.0,0.0,33.33,0.0,90.0,0.0,2,L,0.3333333333333333,1
2,한국도로공사,2017-11-01,1,배유나,40.0,40.0,0.0,0.0,0.0,66.67,0.0,0.33,0,C,0.18518518518518517,1
